7504 7213
7960 4493 1
2983 4722 1
1462 2801 0.5
5970 3851 0.1
9258 980 0.333333
19 3869 0.5
6468 5953 1
1324 8204 0.5
1370 9091 1
2205 5963 0.333333
7977 4124 1
8298 3706 1
6768 5169 1
5546 7738 1
1728 7197 0.1
4055 3816 1
9661 485 1
3189 8207 1
3317 9577 1
8592 8381 1
1301 3159 0.2
1904 8056 0.2
3828 5026 1
8553 7171 1
932 5498 0.5
690 9553 0.5
4317 9416 1
697 9204 0.333333
5282 9120 1
5757 4512 1
2397 5813 0.5
9560 7717 1
831 1746 1
7070 500 1
4446 7831 1
2622 5120 0.5
1213 6037 1
290 3333 0.333333
4173 8615 1
7834 1173 0.1
279 3570 1
5682 3331 1
9343 4162 0.1
4829 7831 0.333333
685 2479 1
5439 5101 0.1
6547 6315 0.5
3871 3204 1
600 3976 1
9446 2011 0.1
6608 8689 1
6182 4572 0.5
3674 715 1
9311 2144 1
2249 2829 1
3017 8268 1
5505 1616 1
830 5487 1
2890 2687 0.2
6763 2334 1
5411 5541 0.5
4228 1924 0.1
6377 5599 0.5
2890 1710 0.2
3833 3959 1
7255 6977 0.333333
2578 9081 1
4217 113 0.1
2257 3003 1
4274 9766 0.333333
8302 1977 1
7819 6205 1
2109 2784 0.333333
6914 5674 1
7061 6106 0.2
238 3562 0.1
1684 6140 1
1344 6956 1
3091 9214 1
7525 3689 1
1094 8590 0.333333
204 6610 0.2
1238 8719 0.1
1070 2434 1
6013 6094 0.1
5116 6333 1
7796 8017 1
6357 5960 0.2
8432 9052 0.5
310 3377 0.2
8352 4471 0.1
8572 4675 0.5
5198 2513 1
1208 3583 1
2891 9596 0.5
7280 1512 0.1
2030 5907 0.2
6322 2465 1
970 7496 0.1
8232 7806 0.5
2583 6359 1
2122 5132 1
8272 532 0.2
142 1740 0.5
844 1230 1
1242 5109 1
4573 7140 0.1
2720 262 1
3427 1232 1
3387 6064 0.2
3324 5246 0.1
7732 7368 0.5
3615 5841 1
2012 2582 1
3991 3426 0.1
5768 1268 0.333333
2255 2440 1
1248 5160 0.333333
9105 5187 0.5
8262 5173 1
2025 5096 0.1
8545 3029 1
600 3244 0.1
9384 5256 0.5
6708 9247 1
5263 1815 1
5526 669 0.5
9528 1918 0.2
3993 1224 0.2
6089 6085 0.2
1049 4709 1
4656 3456 1
2432 655 0.5
2648 6639 0.333333
5446 3548 1
1872 5410 0.1
2967 7535 0.333333
3101 7264 1
4995 7857 1
2276 746 0.333333
1330 1796 0.1
8882 3051 1
6263 2082 0.1
3487 4730 0.333333
5967 378 1
7895 2250 0.333333
8238 1817 1
2853 1517 1
2382 6512 1
3136 5388 1
177 6718 0.333333
8325 2400 0.5
331 8663 0.5
5788 8749 1
1688 4917 0.2
7534 3014 1
2593 7851 1
1787 905 1
4845 3288 1
5960 6424 0.5
4421 3200 0.333333
1277 1726 0.2
1185 8455 1
3175 4445 0.333333
6494 6133 0.2
393 3868 1
2940 3060 1
3903 1447 1
6383 6292 1
2176 8851 1
9755 73 1
4455 1350 1
7953 2535 0.333333
516 2309 0.1
1829 8804 0.5
4659 5796 0.5
7101 5335 0.333333
7596 9238 1
5596 2421 0.5
3482 4598 0.5
7793 1153 1
2105 5608 1
7942 3762 1
9034 878 1
4773 2707 1
6644 3965 0.5
5582 7666 1
7580 2062 0.333333
1226 7658 0.1
7562 1342 0.1
9549 9135 1
5212 7839 1
8623 2581 0.1
1369 1817 0.1
2823 6590 0.1
3282 34 1
6136 5616 0.1
4526 3397 1
8753 1222 0.5
2202 5383 1
248 5134 1
9247 6945 1
856 5769 1
6026 3737 1
8673 6561 1
827 6442 1
6746 2780 0.2
733 3905 0.5
3181 9258 1
3488 1661 1
1736 1909 0.5
9119 7756 1
1343 8612 1
9349 1438 0.5
2570 312 1
5783 1139 1
5629 7886 1
1292 5218 1
6751 4998 0.5
3634 8486 0.2
5900 423 0.1
100 6142 0.5
1245 7485 0.333333
4758 3634 1
8607 6205 1
9219 2189 1
6474 7818 0.1
9506 5709 1
246 2662 1
3242 6296 1
7898 8795 0.5
1264 5494 1
8784 3338 0.2
8719 4695 0.5
6691 3503 1
4975 9321 0.333333
4399 5996 1
8307 5703 0.2
4234 2549 0.333333
5160 2390 1
4773 489 1
7806 8152 0.2
785 7137 0.5
7647 2657 1
8344 9348 0.5
2047 4525 0.5
7737 5523 0.1
8046 4031 0.333333
864 4865 1
9544 226 1
1521 1598 1
8691 9404 0.5
1757 6788 1
7960 1235 1
9059 6179 1
6859 8226 0.2
7583 2763 0.5
1104 7408 1
6726 8272 0.1
1697 4616 0.5
5456 2736 1
9704 1628 1
8905 9783 0.2
2043 7944 1
7637 3803 1
9379 864 0.2
2447 8447 1
4438 6150 0.1
7060 9475 1
1347 1373 0.1
5659 6829 1
8168 3334 0.2
484 2440 1
5986 1082 0.2
9322 5318 0.5
9039 4898 0.333333
7182 7345 0.5
4688 8383 1
9603 2243 1
3192 3591 1
1397 5849 1
8737 4219 0.333333
7907 4703 0.5
7061 7288 0.5
4360 3410 0.5
8460 2650 0.5
7026 6432 1
7238 7719 1
3801 7523 0.5
40 7314 1
4051 8712 0.2
1692 7650 1
2666 5758 1
2680 9418 1
3775 579 0.5
6788 9039 0.1
4900 2866 1
3555 305 1
795 705 0.2
278 7143 0.5
9750 7794 1
2072 9486 1
2015 8751 1
3259 1632 0.1
8391 2007 1
7134 5394 1
5126 6893 1
9551 649 0.2
5094 1444 0.1
8160 8120 1
8742 4670 0.5
8237 6743 0.5
8581 5357 0.333333
4884 8616 1
7204 3807 0.333333
305 1142 1
2445 6269 1
7451 2620 1
5960 7714 1
8575 6075 0.1
5133 5019 1
6085 56 0.2
325 5236 1
6314 6719 0.333333
7538 4125 1
3966 1029 0.1
5789 3474 1
4705 7524 0.2
870 3685 1
4878 8859 1
7207 792 1
1006 6877 1
7947 3802 0.1
7044 317 1
4959 4454 1
6682 5020 1
9547 1010 0.1
5481 2314 0.2
4035 9583 1
6902 4662 0.2
2644 8468 1
3406 6073 0.5
7221 820 0.2
75 7865 0.5
6047 3025 1
2944 9707 0.5
870 6054 1
8668 1736 0.1
4392 2370 0.333333
6798 5871 0.2
8264 8516 1
724 8521 0.5
6459 5943 1
6197 2617 1
2851 5264 0.5
559 8208 1
3287 9079 0.2
7025 7948 1
6276 8940 1
8711 5939 1
2609 4405 1
1573 1728 0.333333
6611 8187 1
9069 1184 0.5
9592 4035 0.2
9740 1194 1
9797 4481 1
2708 8106 0.1
3753 4583 1
7169 94 0.5
3257 9101 0.333333
4459 7274 0.5
983 4086 0.5
3449 9754 0.2
5132 9548 0.5
2280 9489 1
4236 6086 0.2
5471 5393 0.1
1455 9147 1
2978 3116 1
642 2972 1
5707 4031 0.2
6103 5014 1
1485 8463 0.2
4450 396 1
1651 9074 1
46 3511 1
9320 5582 0.1
3702 7037 0.1
9064 6615 1
1321 3856 0.5
2680 9563 0.5
1513 2466 0.1
4433 3952 0.1
3908 8402 1
9529 6652 0.2
5042 6698 1
3241 2818 1
6833 3119 0.333333
9773 8783 1
9027 305 0.2
1455 2985 1
7713 4499 1
5785 5531 0.5
2522 6038 1
9453 5769 1
2460 7410 0.5
5377 852 0.5
4076 7685 1
6412 4258 0.1
5564 3487 0.1
8572 1541 0.1
7944 5854 0.333333
3384 1840 1
5773 4362 1
6765 4017 1
1209 3076 0.2
2351 8453 1
2910 2731 1
6589 5742 1
5851 1508 1
8820 6679 1
1574 4824 1
5225 8208 0.333333
8009 4182 0.333333
3632 7546 1
5024 8755 0.2
627 1307 1
6881 817 1
7620 7406 0.333333
2819 58 1
7903 5477 1
1329 7051 0.2
4009 8875 0.2
5129 3684 1
7211 7317 1
3510 8940 1
9284 6166 1
3914 3248 1
4271 7468 0.2
3973 488 0.333333
1782 4991 1
6271 6320 0.333333
5785 6928 1
307 8657 1
5410 6069 0.5
8261 6178 0.5
6667 5664 0.5
6380 6177 0.5
3510 649 1
4645 1222 0.5
9239 3004 0.2
6110 5874 1
233 1860 1
9629 8566 1
3111 4177 1
3911 2639 1
451 5905 0.333333
3157 2487 0.333333
5711 2596 0.5
5934 7241 0.1
3245 3280 0.333333
5546 9390 1
968 9623 1
6719 6052 0.333333
7927 9163 1
2004 3275 0.5
5660 3726 0.5
1781 3483 0.5
4078 9194 0.5
3624 5330 1
4392 5174 1
8165 921 0.1
4612 1889 1
2919 5207 1
6392 9733 1
7644 1938 1
4733 4198 1
1330 5979 1
3411 6656 0.1
8088 6880 1
408 1473 0.5
2406 6237 0.5
3995 1050 0.5
5408 569 1
6071 6961 1
9500 1405 1
3004 6138 0.2
6632 4068 1
544 7479 0.333333
7051 5769 0.2
2287 2776 0.2
2697 5183 0.1
4028 9178 1
3848 1387 0.5
5475 7458 1
7036 7159 1
7134 6762 0.1
1632 195 0.5
5105 739 0.5
5436 4389 0.5
2848 3275 0.333333
1734 5972 1
3456 6599 0.5
2827 7047 1
2768 2723 0.1
6268 6358 1
7773 292 0.5
5617 8322 0.2
4128 3629 1
6717 9065 0.2
5277 2115 1
6613 448 1
9731 503 0.5
8827 3330 1
2913 2697 1
1056 5565 0.2
2957 3539 0.5
8220 5755 1
3879 84 1
6675 6801 1
4061 8677 0.333333
1321 2090 0.5
1152 8420 0.1
7583 7449 0.333333
1462 6961 0.5
4463 4616 1
621 4172 0.1
6871 2594 0.5
1846 6473 1
449 3350 0.2
4717 4010 1
1301 1931 1
4731 3083 0.5
5263 867 1
9126 8728 0.333333
2486 9790 0.5
1411 7010 1
474 4083 1
5292 2528 0.5
3392 2977 1
8293 7695 0.2
2274 5595 1
4744 528 0.333333
5835 2390 1
1175 1717 1
3476 802 1
6992 2213 0.333333
4881 9085 1
5365 1177 1
8921 4569 1
2627 3064 0.333333
343 1937 0.5
9790 6681 1
9120 9115 0.2
9317 6889 0.1
5043 566 1
7157 4157 1
3082 9039 1
3090 1204 0.1
5626 6724 1
1341 9351 0.5
7747 9694 0.2
3552 6284 1
6283 5605 1
1606 1723 1
5044 3365 0.2
9284 7121 1
5939 405 0.333333
8279 3495 0.5
1997 5721 0.2
284 7062 0.5
1636 1609 0.1
1524 5162 0.1
8093 1646 0.2
779 9650 1
3756 4895 0.5
497 4381 0.333333
1395 6919 1
7932 5399 1
2472 7396 1
3737 4280 0.5
4553 5916 1
1864 7440 1
5460 2333 1
1461 3113 1
5583 3468 1
3271 3965 1
4679 1959 0.1
6493 6490 0.5
2003 5562 1
9632 9299 1
4725 4053 0.2
7825 2517 0.333333
6289 4576 0.1
2998 2636 1
5956 8219 0.5
4011 8089 0.2
3046 2969 1
9001 9462 1
7155 8064 0.5
9304 7897 0.1
5935 9221 0.2
5080 3847 1
8265 337 1
583 9733 1
9214 2489 1
8113 6501 1
7576 9547 0.5
5597 5348 0.1
310 9102 0.5
6983 5207 1
3357 7741 0.333333
3785 9420 0.333333
3328 4485 0.2
7448 5068 1
4404 1082 0.5
6179 9195 1
2842 3571 0.1
5876 9169 0.1
1772 6078 1
5732 3263 0.2
7790 6620 0.333333
5870 7004 1
7797 534 0.333333
6660 4581 1
2056 5584 1
9741 8362 0.5
4328 1406 0.333333
1661 3881 1
4343 5653 0.5
2927 1586 0.1
6718 5976 1
8451 2047 1
6404 6444 0.333333
8843 3305 1
3151 1961 0.1
1942 1903 0.2
6527 2830 0.1
1484 4492 1
5610 5434 1
2615 8361 1
2882 1879 1
9770 6929 1
4065 3534 0.5
1890 8977 0.5
7698 2329 1
2489 870 1
9043 7397 1
403 5481 0.2
8844 1292 0.5
6337 3907 1
5417 3389 1
674 3360 0.5
4377 4024 0.1
4724 5915 0.5
8377 413 0.1
791 2902 0.5
4907 8544 0.1
8453 8947 0.1
6691 7992 0.1
565 4531 0.5
9197 6547 0.5
6509 7222 1
4351 1800 0.5
2327 6524 1
9280 1702 0.5
5362 2493 0.1
2314 4000 1
3263 2654 1
9692 9345 1
7615 6509 0.5
2644 2507 1
1061 9016 1
6240 3568 1
8642 5896 0.5
761 1976 0.2
3093 3938 0.5
4925 6252 1
5503 6114 0.2
5230 6008 0.333333
6147 423 0.5
1796 3067 0.2
3992 4129 1
211 6968 0.1
4627 5811 1
5769 3172 1
5212 2864 0.5
3748 4388 1
6283 93 0.5
8072 1922 0.2
6006 8069 1
650 6464 1
4200 657 0.1
6966 7266 0.5
101 2095 1
5530 4463 1
9535 9676 1
7678 224 0.1
2275 3106 1
9385 7777 1
2904 3984 1
6646 1234 0.333333
256 5434 0.5
4392 2601 1
5698 9101 1
6014 1431 0.2
9501 1167 1
6054 8846 1
6995 7720 0.5
8029 3905 0.2
4183 6810 0.5
8406 256 1
9294 6910 1
7438 1504 0.333333
9448 3801 1
3754 16 0.333333
8922 9518 0.1
4167 5773 0.5
6035 9367 1
1210 4196 0.5
4162 8379 1
7698 6986 1
2669 3080 0.333333
3074 7117 1
9078 6767 1
4584 7120 0.5
1522 6243 1
6026 7010 1
6175 3246 1
4246 4456 1
2822 5217 1
4806 3117 0.1
7047 2385 0.1
6400 2059 0.333333
7256 1338 0.5
8513 5922 0.2
9787 7445 1
3977 271 1
3941 6446 1
3472 7292 0.5
3799 6713 0.333333
6106 1720 1
8598 8768 0.333333
7771 1968 1
862 9224 0.1
7118 4538 1
897 1125 0.333333
7317 5102 1
1149 9043 0.333333
4625 9115 1
2758 9513 1
6108 5820 0.5
9175 4619 0.5
4828 8990 1
8938 6451 1
4587 3771 0.5
2757 1267 1
8373 8584 1
1059 6332 1
192 1158 0.5
3216 3916 0.2
3154 6623 1
4813 5999 1
2039 7426 0.2
1234 6565 1
6252 1353 0.2
6009 4111 1
6891 9083 1
3076 343 1
4904 6934 1
2647 6749 1
104 105 1
9780 1517 0.5
1076 3556 1
1362 1389 0.1
4698 7641 1
2007 450 0.2
6980 7341 0.2
940 619 0.5
1231 5523 0.1
9079 4770 1
7642 4874 0.2
3030 4855 0.5
4418 5931 1
32 3892 1
2211 8591 1
2343 7197 1
188 4378 0.5
314 5318 0.1
784 3149 0.333333
8187 2429 1
5739 6670 0.2
6797 9701 1
5971 919 1
5301 7349 1
6020 9560 1
1180 2105 1
6590 8691 0.5
9543 9006 1
3315 9790 1
9009 4777 1
9674 718 0.1
5415 4114 1
2610 6685 1
5736 2187 0.5
9354 4806 1
1965 5986 1
8171 2778 1
8957 2522 0.5
1861 2436 1
7713 1647 0.1
2794 1522 1
4545 6937 0.5
6199 9547 1
5370 2084 1
2092 1639 1
8374 3605 1
3561 8375 0.1
4038 7533 1
322 9394 0.2
6395 7308 1
4046 303 0.5
8813 4849 1
4495 7647 0.2
463 3218 0.5
1616 5310 1
4173 484 0.333333
6319 644 1
4441 4683 0.5
1684 1604 1
1364 4598 0.1
2690 5244 0.1
2138 4258 0.2
5123 8753 1
7856 5816 0.5
9272 4031 1
8926 8204 1
8785 1324 0.5
822 2364 1
6790 648 1
2555 2012 1
5629 1301 1
5605 39 1
7029 5162 1
9702 9617 1
2393 5689 1
395 1415 0.5
8681 401 1
4411 7621 1
4824 4613 0.5
3440 3767 1
6654 9396 1
1913 1801 1
1430 8830 0.5
9700 5332 0.5
7186 7726 0.2
8702 4720 0.5
5223 201 1
3068 4612 1
9676 6035 0.1
7132 6074 0.5
6601 9328 1
569 1442 1
7776 2872 0.2
3544 9171 0.333333
8929 6558 0.5
3402 2061 0.1
2691 7284 1
8780 6952 1
6294 6829 1
1618 4162 0.5
4111 7362 0.333333
2801 7931 1
9690 2507 1
2410 6051 1
463 1780 0.5
2841 5182 1
6539 4473 1
639 3454 1
5749 6347 0.333333
3695 7966 0.333333
4315 2278 0.1
4463 5079 1
6054 1569 0.2
7115 3980 0.5
4148 4443 0.333333
7740 7285 1
3593 624 1
9728 1263 0.5
6618 3611 1
6936 7307 1
4615 1823 1
3258 6286 0.2
3030 8939 1
5310 2855 1
442 7003 1
3752 1543 0.5
8843 1736 1
8609 1665 0.5
2030 8284 1
1798 2020 1
6132 6635 0.333333
2945 6492 1
4837 6122 1
4898 8031 0.333333
8939 5072 0.1
4224 8824 1
6793 4468 1
6586 3278 1
7641 1907 0.2
2509 304 1
1283 6436 0.333333
1880 9381 0.333333
5363 1019 1
4585 2516 0.5
6662 8055 0.2
2542 2480 1
6364 5872 0.2
5524 9057 0.5
2949 6900 1
8657 6008 0.2
3186 7292 0.2
4351 9172 1
8607 1335 1
9186 5920 0.2
7997 9181 0.1
2082 8323 0.1
1591 4888 1
5567 614 1
6020 3563 1
1981 8819 1
4645 2207 1
546 6558 1
5828 1965 0.1
2330 1352 0.1
7746 5948 1
1620 8031 1
970 6221 0.1
9594 8387 1
4277 4608 1
5859 3189 1
250 7834 0.5
1933 8380 1
9388 1008 0.5
8379 3338 1
90 7684 0.2
983 5903 0.1
400 6873 0.333333
4706 3268 0.2
9625 7545 0.2
1507 204 1
5609 6853 1
8517 5385 0.333333
4783 4974 1
3014 153 1
5594 244 0.5
7724 1227 1
4686 1628 1
4467 6334 0.333333
2837 2759 0.5
5816 4266 1
2184 6474 0.333333
2986 1791 0.5
8768 3173 0.5
5759 6187 1
6088 1982 1
902 6306 1
8016 7591 1
2406 2259 1
6462 5097 0.2
1866 1114 0.5
472 3298 0.5
5930 2884 1
6975 1853 0.5
9594 7612 1
5968 500 1
8984 7800 0.5
27 6018 0.1
2498 5023 1
7901 1687 1
2864 152 1
2094 624 0.2
4397 3154 0.2
5090 6728 0.2
8957 6523 0.333333
5812 2692 0.2
4649 8275 1
6391 4902 0.333333
5925 7400 1
4317 5502 0.333333
7807 8367 1
2611 7060 0.5
3711 8056 0.333333
1297 9745 0.333333
7134 8904 1
985 4917 1
1735 6165 1
3887 9155 1
8656 1880 0.5
5248 6197 0.1
3528 4205 0.5
1960 3416 0.333333
7414 7127 1
6224 5024 1
8361 8757 1
824 6342 1
8776 8077 1
5406 8563 1
3536 4019 0.2
2669 9267 1
502 9394 1
3301 1555 1
3361 8970 1
8076 1994 1
2938 556 0.333333
6705 7778 0.333333
8586 3355 0.333333
6834 8761 1
4437 2498 1
520 1766 0.2
2800 8666 0.5
2483 8566 1
8984 8526 1
6011 6803 1
8062 9742 1
9071 3247 1
3223 8432 0.5
5451 5467 0.333333
6444 6504 0.2
8054 7024 1
5732 6423 1
3006 8906 0.333333
1835 4690 0.5
6233 902 1
2826 5563 0.333333
2972 1435 1
4498 4658 1
5979 310 0.1
6421 3353 1
2560 1609 1
6864 3940 0.1
236 6946 1
2174 5380 1
9238 1814 0.1
3508 1239 1
4118 4211 1
4575 5309 0.1
3665 1489 1
4821 4509 1
9081 3669 1
766 734 1
8674 970 1
8887 9542 1
3991 8982 0.5
6396 2691 0.2
4566 3408 0.2
769 4582 0.5
1631 8247 0.333333
9201 9668 1
526 8950 0.1
3260 6315 1
6533 1789 1
6953 877 0.5
9353 4869 1
3769 1466 0.333333
9223 2631 0.5
5688 0 0.5
7463 1631 0.1
7325 1033 0.333333
1898 1559 1
6538 1418 0.5
5514 4550 0.5
2059 1705 1
8147 7657 1
3618 1627 1
4778 7449 0.5
9346 3339 1
8697 7401 0.1
3096 1526 1
7163 24 0.2
3579 6562 1
6311 8676 1
4434 936 1
6431 9083 0.333333
6900 9301 0.5
2033 4280 0.333333
6195 3827 1
3960 2725 1
9753 5822 0.333333
3380 9584 1
4964 3365 1
7966 9676 0.1
5720 910 0.333333
1778 7341 1
2093 1041 0.2
7436 3074 1
7028 5869 0.5
161 30 1
7092 6382 1
5751 6361 1
1033 1526 1
2878 6092 0.5
3599 8411 0.5
1856 6789 1
9197 8882 1
6240 6519 0.5
4163 3748 1
5912 508 0.2
588 7601 1
7484 152 0.5
4367 1186 0.5
4614 663 1
1338 861 1
5369 2718 1
6943 8514 1
9559 1554 0.5
8447 5717 1
6806 8229 0.333333
8192 8817 0.5
6161 3102 0.2
693 7469 1
3150 8682 1
8297 221 1
2258 2190 1
9406 9133 0.5
9239 5492 0.5
8789 4140 0.2
2289 7545 1
6096 5938 0.1
4304 8699 0.333333
9062 9392 1
5208 9141 0.333333
8414 4239 0.5
2683 3096 1
9469 2704 1
1770 8542 1
8826 7533 1
8399 6421 0.5
6402 9116 0.2
22 3621 0.1
6544 9282 1
7334 1290 0.5
7008 9705 0.1
6904 8987 0.2
5588 5257 1
3607 7027 1
7119 6054 0.2
1571 1253 1
167 4254 0.2
4702 4277 0.5
4736 7420 0.1
963 4955 0.5
6331 2165 1
9136 5668 1
5238 1457 1
644 1664 1
4592 5382 0.5
9271 3552 0.1
4174 3719 0.2
4792 5021 0.1
5630 9757 0.5
5951 921 1
4162 3851 1
2279 3188 1
5983 5026 0.5
5144 5670 1
1534 6861 1
578 6333 1
875 7106 1
2025 2099 1
7453 4328 0.2
702 480 1
5305 4643 1
2274 3521 0.5
1510 6103 1
8602 1449 0.5
7558 9381 1
8496 160 0.1
6587 7433 1
4997 6058 0.2
8428 3712 1
8417 4414 0.333333
9327 6319 0.5
888 8593 1
2036 305 1
4809 8907 1
6854 3265 1
2560 1962 0.5
1198 5149 0.333333
544 6745 0.5
8387 5375 0.1
7358 592 1
6810 6518 0.5
7503 4005 1
8317 2641 1
8837 7450 1
7404 1105 0.333333
2153 264 0.5
6862 1463 0.5
2403 2007 1
7403 6994 1
2915 1152 0.2
9239 7962 1
2285 2266 0.2
3924 784 1
2467 9621 0.1
6516 3826 1
630 2578 0.1
6506 6039 0.5
7732 8442 1
5905 2645 1
2650 2159 1
3389 1600 0.1
3843 3885 1
1905 7809 0.1
9006 6875 1
7361 3592 1
18 4222 1
6140 930 0.5
525 5261 0.5
6717 7765 0.5
6702 617 0.1
7840 4006 0.2
7142 4448 1
5308 6354 1
4259 5561 0.333333
9431 9521 0.333333
5228 9540 1
7005 2480 1
1622 3006 0.5
4681 6322 0.5
586 3225 1
5049 1267 1
1313 5008 0.5
1462 6915 1
6019 1376 0.5
4251 7406 1
2674 2835 1
5320 6440 1
2093 8062 1
7529 9342 0.5
7531 129 1
8149 1778 1
9373 3091 0.1
5246 4554 1
4072 7172 1
8459 8023 0.333333
2770 898 0.2
9618 6218 1
9148 8312 0.333333
8282 2641 0.5
3940 6771 1
9221 1721 1
5970 1295 0.5
925 3140 0.5
6196 7212 1
9443 5872 0.2
6895 5242 1
3782 1660 1
7109 1009 0.2
8699 5891 1
6431 6430 0.333333
4293 5852 0.2
531 8421 0.5
3262 9346 1
3745 2342 1
1602 8384 1
7481 5481 1
4460 5862 1
4257 3173 1
8964 8471 0.333333
6514 1703 1
7435 2595 0.333333
6675 3126 0.5
7211 2988 1
7485 6733 0.5
5173 8335 1
5332 6018 1
7332 7077 1
1193 1535 1
2462 701 0.2
6221 3814 0.5
213 7848 0.5
6455 4725 0.5
7918 2137 1
8928 6221 1
8880 1595 0.5
1019 6927 0.2
1636 1059 1
1717 2253 1
7969 1314 1
9492 7536 1
2919 7749 0.1
8740 1005 0.2
7888 5522 1
226 1251 1
5695 332 0.5
6299 1351 1
3123 2987 0.1
3623 1303 1
5658 5871 1
8395 2163 0.5
1746 5082 0.1
6346 4023 0.5
2472 2113 1
7132 8737 1
8215 1232 0.5
1095 7531 1
3899 7253 0.1
1364 7475 1
4080 3335 1
1712 8329 1
3479 276 0.333333
3196 3221 1
6916 2292 1
6359 6024 1
7053 4440 1
8079 2134 1
3654 6033 1
2216 3997 1
5078 4676 1
4013 6388 1
5112 6466 1
1494 6261 0.5
8297 3378 0.1
4014 9737 0.333333
8467 3590 1
4354 8268 0.2
970 2123 0.1
4839 938 0.1
2984 6017 0.1
4464 231 1
1073 1942 1
7757 3436 1
4463 8333 1
3461 2548 0.2
8483 1216 1
4745 2169 0.1
3142 3139 0.333333
771 4578 1
2396 7562 1
8698 2228 0.5
8187 9699 1
4344 7658 0.5
6762 2322 0.5
2759 5783 1
1692 1066 1
7617 2410 0.1
8610 5553 1
1927 6324 1
2581 8720 1
9252 4218 0.2
6356 2607 1
2001 6951 1
1082 3914 0.5
5096 3272 1
8256 4965 0.5
9232 9181 1
8977 4591 1
2062 6518 1
6123 5699 1
4546 5152 1
5198 1709 1
2349 309 0.2
7158 7790 1
1089 3087 0.5
803 7942 1
7981 3975 1
7770 3153 0.1
9712 1814 0.1
4777 7937 1
8563 9082 0.5
3368 1080 1
779 3429 1
1741 7186 1
3215 8275 1
4561 9078 0.1
1073 3859 1
3365 8229 0.2
449 8142 1
4052 3120 1
153 8283 0.5
1407 1852 1
970 9029 1
842 7369 0.333333
8504 7184 0.2
6053 1946 0.5
8143 3020 0.5
4410 6385 1
3829 3434 0.1
1662 4085 1
7431 4238 0.333333
9083 2245 1
2017 9613 0.333333
4778 656 1
4926 5759 0.5
3551 2013 1
4453 6755 0.333333
9214 1366 1
2606 5196 1
739 3457 0.5
1992 1089 0.5
8128 6772 0.1
6316 8789 1
334 3768 1
1722 8694 0.5
6892 8845 0.5
7611 3499 1
4548 9312 0.2
7871 2119 0.5
4828 9256 0.5
5871 1449 1
7751 6176 0.333333
2077 2694 1
2615 9426 1
3809 7747 1
7361 4841 1
3127 9051 0.2
2247 3801 1
2734 1873 1
5016 6701 1
956 2773 0.333333
4384 7123 0.333333
4784 5799 0.5
4175 8414 1
3932 8822 1
8983 2983 1
3281 6110 0.5
7476 4957 0.5
7783 7691 0.1
6808 2909 1
8691 3865 1
5222 8249 0.1
7929 9633 0.5
3531 4009 0.1
8559 4540 0.333333
8135 3725 0.333333
6154 3605 1
6423 7681 1
4094 5665 0.333333
6636 2675 0.2
9481 7965 0.5
8297 9786 0.1
4438 7916 0.1
2978 1648 0.5
133 6807 0.5
2709 5143 1
8269 7897 1
6740 4521 1
368 5214 0.2
8086 2051 0.333333
8914 8131 1
408 6630 0.5
6549 7667 0.1
2725 846 0.5
9308 7377 1
833 288 1
2482 5156 0.333333
7736 2097 0.5
7471 2466 1
3072 7151 0.1
4346 6267 1
3786 3274 0.333333
3213 24 0.2
7156 9147 1
9347 8656 1
2147 6088 1
3088 8570 0.5
5528 3106 0.333333
9088 778 0.5
8064 3851 0.1
2693 8197 1
8450 8582 0.1
4641 1996 0.333333
1697 5752 0.1
5997 5300 0.333333
1478 4046 0.2
244 7135 1
4167 2864 0.333333
388 8552 0.2
5473 6817 1
7910 6109 0.333333
6816 4760 1
5594 6000 0.1
4397 7697 0.333333
8945 3896 0.2
2552 1973 0.1
8645 8616 0.2
309 2984 0.1
8280 3372 0.1
3830 8845 0.333333
9628 6956 0.5
4026 572 1
7005 6167 0.2
8580 7163 0.5
6108 6309 1
5535 5460 0.333333
5608 905 1
3016 1215 1
3289 6094 1
8713 6523 0.333333
7754 6353 0.2
6506 580 0.333333
6618 4184 1
6332 2966 0.333333
6941 5673 0.333333
1648 7808 1
8127 216 1
223 3232 1
5102 3121 1
3554 8433 0.333333
7450 6389 0.5
8503 3096 1
6728 9714 1
1321 2846 0.2
9475 9788 1
940 8035 1
7664 2962 0.2
5494 3185 0.5
1139 4886 1
2878 8440 1
1341 6091 0.5
2757 1394 0.1
4752 8123 1
7531 6043 1
76 2319 1
8094 3259 1
7318 7522 0.2
361 9615 1
3034 955 1
8828 432 1
3457 8172 0.1
1075 1130 1
1789 2481 0.1
2418 214 1
8891 6688 1
5554 4983 1
6851 2503 0.5
1311 9262 0.333333
5354 8895 0.5
4484 7924 0.5
8653 7980 0.5
9114 9055 0.333333
7569 1045 0.5
4347 63 1
7169 8954 1
8909 1309 1
4109 4759 1
6831 6071 0.333333
5969 8024 0.5
2661 2710 0.2
9584 1564 1
1681 7278 1
4706 5048 0.5
6812 5994 1
9132 9763 1
4941 8873 0.5
2332 3184 1
8624 6614 0.333333
4580 2784 0.1
6030 5445 0.333333
5605 1830 0.5
9759 3511 1
3371 4816 0.5
4427 1830 1
2144 7561 1
8816 2703 0.5
196 1634 1
9536 459 1
8345 5039 1
5380 7668 1
5125 3474 0.1
9432 3435 0.5
1418 3405 0.1
